seg. ago. 17 17:13:48 2026 1786997628719 Debug: main.cpp int main(int, char **) "fakedevice_rower" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628720 Debug: main.cpp int main(int, char **) "fakedevice_treadmill" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628720 Debug: main.cpp int main(int, char **) "filter_device" QVariant(QString, "Disabled")
seg. ago. 17 17:13:48 2026 1786997628721 Debug: main.cpp int main(int, char **) "fit_file_garmin_device_training_effect" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628722 Debug: main.cpp int main(int, char **) "fit_file_garmin_device_training_effect_device" QVariant(QString, "3122")
seg. ago. 17 17:13:48 2026 1786997628724 Debug: main.cpp int main(int, char **) "fitfiu_mc_v460" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628725 Debug: main.cpp int main(int, char **) "fitmetria_fanfit_enable" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628726 Debug: main.cpp int main(int, char **) "fitmetria_fanfit_max" QVariant(QString, "100")
seg. ago. 17 17:13:48 2026 1786997628726 Debug: main.cpp int main(int, char **) "fitmetria_fanfit_min" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628727 Debug: main.cpp int main(int, char **) "fitmetria_fanfit_mode" QVariant(QString, "Heart")
seg. ago. 17 17:13:48 2026 1786997628728 Debug: main.cpp int main(int, char **) "fitplus_bike" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628728 Debug: main.cpp int main(int, char **) "fitshow_anyrun" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628729 Debug: main.cpp int main(int, char **) "fitshow_treadmill_miles" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628729 Debug: main.cpp int main(int, char **) "fitshow_truetimer" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628730 Debug: main.cpp int main(int, char **) "fitshow_user_id" QVariant(QString, "5034")
seg. ago. 17 17:13:48 2026 1786997628730 Debug: main.cpp int main(int, char **) "floating_height" QVariant(QString, "210")
seg. ago. 17 17:13:48 2026 1786997628731 Debug: main.cpp int main(int, char **) "floating_startup" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628732 Debug: main.cpp int main(int, char **) "floating_transparency" QVariant(QString, "80")
seg. ago. 17 17:13:48 2026 1786997628733 Debug: main.cpp int main(int, char **) "floating_width" QVariant(QString, "370")
seg. ago. 17 17:13:48 2026 1786997628735 Debug: main.cpp int main(int, char **) "floatingwindow_type" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628736 Debug: main.cpp int main(int, char **) "flywheel_filter" QVariant(QString, "2")
seg. ago. 17 17:13:48 2026 1786997628737 Debug: main.cpp int main(int, char **) "flywheel_life_fitness_ic8" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628738 Debug: main.cpp int main(int, char **) "force_resistance_instead_inclination" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628739 Debug: main.cpp int main(int, char **) "freebeat_serialport" QVariant(QString, "")
seg. ago. 17 17:13:48 2026 1786997628739 Debug: main.cpp int main(int, char **) "freemotion_coachbike_b22_7" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628740 Debug: main.cpp int main(int, char **) "ftms_accessory_name" QVariant(QString, "Disabled")
seg. ago. 17 17:13:48 2026 1786997628741 Debug: main.cpp int main(int, char **) "ftms_bike" QVariant(QString, "Disabled")
seg. ago. 17 17:13:48 2026 1786997628742 Debug: main.cpp int main(int, char **) "ftms_elliptical" QVariant(QString, "Disabled")
seg. ago. 17 17:13:48 2026 1786997628744 Debug: main.cpp int main(int, char **) "ftms_rower" QVariant(QString, "Disabled")
seg. ago. 17 17:13:48 2026 1786997628744 Debug: main.cpp int main(int, char **) "ftms_treadmill" QVariant(QString, "Disabled")
seg. ago. 17 17:13:48 2026 1786997628745 Debug: main.cpp int main(int, char **) "ftp" QVariant(QString, "200")
seg. ago. 17 17:13:48 2026 1786997628747 Debug: main.cpp int main(int, char **) "ftp_run" QVariant(QString, "200")
seg. ago. 17 17:13:48 2026 1786997628747 Debug: main.cpp int main(int, char **) "fytter_ri08_bike" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628748 Debug: main.cpp int main(int, char **) "gamepad_enabled" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628749 Debug: main.cpp int main(int, char **) "gamepad_erg_mode" QVariant(QString, "y")
seg. ago. 17 17:13:48 2026 1786997628750 Debug: main.cpp int main(int, char **) "gamepad_gear_down" QVariant(QString, "rb,lb")
seg. ago. 17 17:13:48 2026 1786997628751 Debug: main.cpp int main(int, char **) "gamepad_gear_up" QVariant(QString, "rt,lt")
seg. ago. 17 17:13:48 2026 1786997628752 Debug: main.cpp int main(int, char **) "gamepad_repeat_delay" QVariant(QString, "400")
seg. ago. 17 17:13:48 2026 1786997628753 Debug: main.cpp int main(int, char **) "gamepad_repeat_rate" QVariant(QString, "150")
seg. ago. 17 17:13:48 2026 1786997628758 Debug: main.cpp int main(int, char **) "garmin_bluetooth_compatibility" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628759 Debug: main.cpp int main(int, char **) "garmin_companion" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628760 Debug: main.cpp int main(int, char **) "garmin_domain" QVariant(QString, "garmin.com")
seg. ago. 17 17:13:48 2026 1786997628760 Debug: main.cpp int main(int, char **) "garmin_download_workouts_on_start" QVariant(QString, "true")
seg. ago. 17 17:13:48 2026 1786997628762 Debug: main.cpp int main(int, char **) "garmin_expires_at" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628763 Debug: main.cpp int main(int, char **) "garmin_last_refresh" QVariant(QString, "")
seg. ago. 17 17:13:48 2026 1786997628765 Debug: main.cpp int main(int, char **) "garmin_last_seen_cycling_ftp_create_time" QVariant(QString, "")
seg. ago. 17 17:13:48 2026 1786997628767 Debug: main.cpp int main(int, char **) "garmin_last_seen_running_ftp_create_time" QVariant(QString, "")
seg. ago. 17 17:13:48 2026 1786997628769 Debug: main.cpp int main(int, char **) "garmin_upload_enabled" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628770 Debug: main.cpp int main(int, char **) "gear_circumference" QVariant(QString, "2070")
seg. ago. 17 17:13:48 2026 1786997628770 Debug: main.cpp int main(int, char **) "gear_cog_size" QVariant(QString, "14")
seg. ago. 17 17:13:48 2026 1786997628771 Debug: main.cpp int main(int, char **) "gear_configuration" QVariant(QString, "1|38|44|true\n2|38|38|true\n3|38|32|true\n4|38|28|true\n5|38|24|true\n6|38|21|true\n7|38|19|true\n8|38|17|true\n9|38|15|true\n10|38|13|true\n11|38|11|true\n12|38|10|true")
seg. ago. 17 17:13:48 2026 1786997628772 Debug: main.cpp int main(int, char **) "gear_crankset_size" QVariant(QString, "42")
seg. ago. 17 17:13:48 2026 1786997628773 Debug: main.cpp int main(int, char **) "gear_wheel_size" QVariant(QString, "700 x 18C")
seg. ago. 17 17:13:48 2026 1786997628774 Debug: main.cpp int main(int, char **) "gears_current_value" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628775 Debug: main.cpp int main(int, char **) "gears_current_value_f" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628776 Debug: main.cpp int main(int, char **) "gears_custom_table" QVariant(QString, "1|1\n2|2\n3|3\n4|4\n5|5\n6|6\n7|7\n8|8\n9|9\n10|10\n11|11\n12|12\n13|13\n14|14\n15|15\n16|16\n17|17\n18|18\n19|19\n20|20\n21|21\n22|22\n23|23\n24|24")
seg. ago. 17 17:13:48 2026 1786997628776 Debug: main.cpp int main(int, char **) "gears_custom_table_enabled" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628777 Debug: main.cpp int main(int, char **) "gears_from_bike" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628777 Debug: main.cpp int main(int, char **) "gears_gain" QVariant(QString, "1")
seg. ago. 17 17:13:48 2026 1786997628778 Debug: main.cpp int main(int, char **) "gears_neutral_gear" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628778 Debug: main.cpp int main(int, char **) "gears_offset" QVariant(QString, "0")
seg. ago. 17 17:13:48 2026 1786997628779 Debug: main.cpp int main(int, char **) "gears_restore_value" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628780 Debug: main.cpp int main(int, char **) "gears_volume_debouncing" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628780 Debug: main.cpp int main(int, char **) "gears_zwift_ratio" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628781 Debug: main.cpp int main(int, char **) "gem_module_inclination" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628782 Debug: main.cpp int main(int, char **) "gpx_loop" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628783 Debug: main.cpp int main(int, char **) "gym_mode" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628784 Debug: main.cpp int main(int, char **) "gymstick_gx6_0_elliptical" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628784 Debug: main.cpp int main(int, char **) "hammer_racer_s" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628785 Debug: main.cpp int main(int, char **) "heart_ignore_builtin" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628786 Debug: main.cpp int main(int, char **) "heart_max_override_enable" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628787 Debug: main.cpp int main(int, char **) "heart_max_override_value" QVariant(QString, "195")
seg. ago. 17 17:13:48 2026 1786997628788 Debug: main.cpp int main(int, char **) "heart_rate_belt_name" QVariant(QString, "Disabled")
seg. ago. 17 17:13:48 2026 1786997628790 Debug: main.cpp int main(int, char **) "heart_rate_resting" QVariant(QString, "60")
seg. ago. 17 17:13:48 2026 1786997628791 Debug: main.cpp int main(int, char **) "heart_rate_zone1" QVariant(QString, "70")
seg. ago. 17 17:13:48 2026 1786997628794 Debug: main.cpp int main(int, char **) "heart_rate_zone2" QVariant(QString, "80")
seg. ago. 17 17:13:48 2026 1786997628795 Debug: main.cpp int main(int, char **) "heart_rate_zone3" QVariant(QString, "90")
seg. ago. 17 17:13:48 2026 1786997628795 Debug: main.cpp int main(int, char **) "heart_rate_zone4" QVariant(QString, "100")
seg. ago. 17 17:13:48 2026 1786997628796 Debug: main.cpp int main(int, char **) "height" QVariant(QString, "175")
seg. ago. 17 17:13:48 2026 1786997628797 Debug: main.cpp int main(int, char **) "hertz_xr_770" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628798 Debug: main.cpp int main(int, char **) "hop_sport_hs_090h_bike" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628798 Debug: main.cpp int main(int, char **) "horizon_gr7_cadence_multiplier" QVariant(QString, "1")
seg. ago. 17 17:13:48 2026 1786997628799 Debug: main.cpp int main(int, char **) "horizon_paragon_x" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628799 Debug: main.cpp int main(int, char **) "horizon_treadmill_7_0_at_24" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628800 Debug: main.cpp int main(int, char **) "horizon_treadmill_7_8" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628801 Debug: main.cpp int main(int, char **) "horizon_treadmill_disable_pause" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628801 Debug: main.cpp int main(int, char **) "horizon_treadmill_force_ftms" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628803 Debug: main.cpp int main(int, char **) "horizon_treadmill_omega_z" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628804 Debug: main.cpp int main(int, char **) "horizon_treadmill_profile_user1" QVariant(QString, "user1")
seg. ago. 17 17:13:48 2026 1786997628805 Debug: main.cpp int main(int, char **) "horizon_treadmill_profile_user2" QVariant(QString, "user2")
seg. ago. 17 17:13:48 2026 1786997628805 Debug: main.cpp int main(int, char **) "horizon_treadmill_profile_user3" QVariant(QString, "user3")
seg. ago. 17 17:13:48 2026 1786997628806 Debug: main.cpp int main(int, char **) "horizon_treadmill_profile_user4" QVariant(QString, "user4")
seg. ago. 17 17:13:48 2026 1786997628807 Debug: main.cpp int main(int, char **) "horizon_treadmill_profile_user5" QVariant(QString, "user5")
seg. ago. 17 17:13:48 2026 1786997628807 Debug: main.cpp int main(int, char **) "horizon_treadmill_suspend_stats_pause" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628808 Debug: main.cpp int main(int, char **) "iconcept_elliptical" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628808 Debug: main.cpp int main(int, char **) "iconcept_ftms_treadmill_inclination_table" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628809 Debug: main.cpp int main(int, char **) "iconsole_elliptical" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628810 Debug: main.cpp int main(int, char **) "iconsole_rower" QVariant(QString, "false")
seg. ago. 17 17:13:48 2026 1786997628811 Debug: main.cpp int main(int, char **) "inclinationResistancePoints" QVariant(QString, "")
seg. ago. 17 17:13:48 2026 1786997628811 Debug: main.cpp int main(int, char **) "inclination_delay_seconds" QVariant(QString, "0")
